Product_ID,Sale_Date,Sales_Rep,Region,Amount,Sold,Product_Category,Unit_Cost,Price,Type,Discount,Payment_Method,Sales_Channel
1048,2023-01-30,Rami d,East,4340.86,5,Food,4831.63,5016.17,New,0.21,Bank Transfer,Online
1090,2023-01-31,Charlie,South,4859.98,36,Food,2028.42,1592.52,New,0.13,Bank Transfer,Retail
1058,2023-02-01,Bob,East,8603.1,49,Food,740.51,4535.27,New,0.22,Bank Transfer,Retail
1041,2023-02-02,Rami d,South,3413.25,58,Clothing,3391.37,5496.52,New,0.16,Credit Card,Online
1091,2023-02-03,Charlie,South,2407.44,39,Clothing,3673.62,1281.16,New,0.03,Credit Card,Retail
1059,2023-02-04,Charlie,West,8677.81,80,Clothing,2917.8,1568.66,New,0.07,UPI,Online
1079,2023-02-05,Bob,South,1418.51,97,Clothing,1113.41,3696.3,Returning,0.25,UPI,Retail
1014,2023-02-06,Bob,North,6577.29,85,Clothing,2571.83,5315.15,New,0.22,Bank Transfer,Retail
1061,2023-02-07,Dani d,South,6057.94,61,Electronics,1629.73,5049.61,New,0.27,Credit Card,Online
1061,2023-02-08,Rami d,West,4113.28,9,Clothing,2194.59,2840.38,Returning,0.04,Cash,Retail
1046,2023-02-09,Rami d,South,3836.71,6,Clothing,3261.57,4403.84,Returning,0.3,UPI,Retail
1061,2023-02-10,Dani d,North,7946.72,35,Clothing,3751.55,876.24,Returning,0.07,Credit Card,Online
1050,2023-02-11,Rami d,North,1777.82,39,Clothing,1237.9,5379.29,New,0.01,Cash,Online
1054,2023-02-12,Rami d,North,3131.06,22,Food,2086.09,5309.29,Returning,0.3,Cash,Retail
1063,2023-02-13,Rami d,West,7592.04,41,Clothing,1418.89,1025.95,New,0.09,Credit Card,Online
1002,2023-02-14,Rami d,West,5934.89,5,Electronics,1073.29,1751.91,New,0.2,UPI,Retail
1050,2023-02-15,Rami d,East,2151.89,42,Electronics,3938.6,685.83,New,0.06,Credit Card,Online
1006,2023-02-16,Bob,West,8939.22,87,Electronics,4555.34,1603.69,Returning,0.18,UPI,Retail
1020,2023-02-17,Rami d,North,4541.03,81,Furniture,1914.14,4515.36,Returning,0.27,Bank Transfer,Online
1072,2023-02-18,Bob,North,8450.82,76,Food,3781.27,2173.99,New,0.1,Credit Card,Online
1038,2023-02-19,Rami d,West,8089.42,87,Clothing,4495.28,622.92,New,0.2,Credit Card,Online
1017,2023-02-20,Dani d,South,6619.83,80,Furniture,4246.01,1980.91,New,0.06,UPI,Online
1003,2023-02-21,Charlie,West,5450.33,67,Clothing,995.79,5400.4,Returning,0.19,UPI,Online
1088,2023-02-22,Bob,West,9815.96,30,Furniture,4785.83,3518.81,New,0.11,Credit Card,Online
1059,2023-02-23,Rami d,North,2304.69,57,Furniture,1945.71,2376.46,Returning,0.07,Cash,Online
1013,2023-02-24,Dani d,East,7526.4,86,Electronics,1762.28,1040.98,New,0.1,Cash,Online
1008,2023-02-25,Charlie,North,2720.72,73,Electronics,405.91,5426.05,Returning,0.06,Cash,Online
1089,2023-02-26,Bob,East,4044.37,29,Furniture,2482.25,4541.54,New,0.27,Bank Transfer,Retail
1052,2023-02-27,Charlie,North,3778.29,37,Electronics,634.17,1655.9,Returning,0.13,Bank Transfer,Online
1001,2023-02-28,Dani d,West,9523.32,87,Furniture,1317.85,524.87,Returning,0.08,UPI,Retail
1083,2023-03-01,Bob,North,9706.21,13,Food,1653.02,452.95,Returning,0.14,Bank Transfer,Online
1091,2023-03-02,Charlie,North,2647.14,32,Electronics,4063.25,794.02,Returning,0.1,Cash,Retail
1059,2023-03-03,Rami d,North,1198.32,46,Electronics,4389.89,3257.11,Returning,0.23,Credit Card,Retail
1070,2023-03-04,Bob,West,7480.07,23,Electronics,1582.08,5118.88,Returning,0.29,Bank Transfer,Online
1043,2023-03-05,Charlie,West,4761.91,45,Food,4307.62,2807.58,New,0.14,Bank Transfer,Online
1007,2023-03-06,Dani d,West,1799.56,17,Furniture,4300.43,4659.76,New,0.26,Cash,Retail
1046,2023-03-07,Dani d,West,7153.79,85,Clothing,3846.79,2535.49,New,0.17,Bank Transfer,Retail
1034,2023-03-08,Bob,East,5905.95,66,Electronics,818.81,3940.92,New,0.06,UPI,Online
1077,2023-03-09,Charlie,East,9824.65,6,Furniture,3482.58,4065.52,Returning,0.21,Credit Card,Online
1080,2023-03-10,Bob,South,3046.69,18,Food,4730.62,1080.71,New,0.16,Cash,Online
1035,2023-03-11,Bob,West,4635.8,94,Clothing,3444.45,2082.51,Returning,0.2,UPI,Retail
1049,2023-03-12,Charlie,East,5882.91,22,Electronics,1724.92,3559.57,Returning,0.27,Cash,Online
1003,2023-03-13,Charlie,North,8125.3,33,Food,2552.84,528.23,Returning,0.14,UPI,Online
1001,2023-03-14,Rami d,West,5939.55,30,Food,3264.05,2084.24,New,0.27,Credit Card,Online
1005,2023-03-15,Charlie,South,6516.1,81,Clothing,2601.8,3011.18,Returning,0.23,Credit Card,Online
1053,2023-03-16,Dani d,South,3035.32,32,Furniture,687.77,5479.8,New,0.15,UPI,Online
1003,2023-03-17,Bob,South,8622.27,42,Electronics,1629.11,2688.75,New,0.18,UPI,Retail
1053,2023-03-18,Bob,North,4857.67,78,Electronics,4031.74,4515.9,New,0.1,UPI,Retail
1092,2023-03-19,Dani d,East,2268.64,10,Furniture,4320.95,2461.56,New,0.3,UPI,Online
1062,2023-03-20,Charlie,North,6977.69,36,Furniture,772.77,4410.69,New,0.2,UPI,Online
1017,2023-03-21,Dani d,West,2944.81,34,Furniture,4766.7,3335.47,Returning,0.02,UPI,Retail
1089,2023-03-22,Dani d,South,1878.06,73,Clothing,1711.23,4893.29,Returning,0.1,Credit Card,Online
1043,2023-03-23,Rami d,North,8757.88,28,Clothing,3345.34,2348.54,New,0.19,UPI,Retail
1033,2023-03-24,Dani d,North,5141.46,11,Electronics,3783.94,3383.03,Returning,0.03,Bank Transfer,Online
1073,2023-03-25,Bob,East,7743.55,78,Clothing,4078.54,3520.6,New,0.02,Credit Card,Retail
1061,2023-03-26,Dani d,East,3615.29,39,Food,4734.17,2383.0,Returning,0.14,Cash,Retail
1099,2023-03-27,Bob,South,8082.73,47,Electronics,1633.31,922.07,Returning,0.11,Credit Card,Online
1013,2023-03-28,Bob,North,2007.42,19,Clothing,4306.68,650.54,Returning,0.14,Cash,Retail
1094,2023-03-29,Bob,North,4203.76,15,Furniture,745.27,239.19,Returning,0.09,Cash,Online
1047,2023-03-30,Charlie,East,9802.56,28,Food,3554.7,4823.41,Returning,0.06,Bank Transfer,Retail
1014,2023-03-31,Rami d,North,8145.91,24,Furniture,3735.69,1415.14,Returning,0.21,UPI,Online
1071,2023-04-01,Bob,North,5475.3,72,Electronics,3420.84,1281.56,Returning,0.16,UPI,Online
1077,2023-04-02,Bob,North,4058.0,9,Furniture,1336.34,4087.79,Returning,0.07,Credit Card,Online
1086,2023-04-03,Charlie,East,8849.22,47,Clothing,4377.91,1862.09,Returning,0.1,UPI,Retail
1061,2023-04-04,Bob,South,5903.63,33,Clothing,927.41,2857.34,Returning,0.18,Bank Transfer,Online
1039,2023-04-05,Dani d,West,7825.83,62,Electronics,362.81,1019.43,Returning,0.03,Credit Card,Online
1084,2023-04-06,Dani d,South,7786.97,97,Furniture,3615.58,5284.64,Returning,0.05,Credit Card,Online
1079,2023-04-07,Rami d,West,1161.51,19,Electronics,2429.83,4705.96,Returning,0.03,Credit Card,Retail
1081,2023-04-08,Bob,North,2136.28,67,Furniture,4260.58,4771.27,New,0.25,UPI,Online
1052,2023-04-09,Charlie,South,6936.66,74,Food,1978.65,2326.24,Returning,0.23,UPI,Retail
1023,2023-04-10,Dani d,West,2454.58,40,Clothing,924.57,4228.63,Returning,0.23,UPI,Retail
1025,2023-04-11,Charlie,East,3299.44,47,Electronics,4198.57,919.74,Returning,0.22,Credit Card,Retail
1088,2023-04-12,Charlie,East,9519.74,65,Food,2789.66,196.11,Returning,0.2,Credit Card,Online
1059,2023-04-13,Dani d,South,6041.64,29,Food,1027.06,256.86,Returning,0.15,Cash,Online
1040,2023-04-14,Charlie,South,7756.57,50,Electronics,3629.88,3288.32,Returning,0.2,Cash,Retail
1028,2023-04-15,Dani d,North,6021.83,98,Electronics,2604.46,2586.36,New,0.02,UPI,Online
1014,2023-04-16,Charlie,South,5972.62,13,Food,3061.13,2921.38,New,0.19,Credit Card,Online
1044,2023-04-17,Dani d,North,1847.37,1,Furniture,2358.4,189.93,New,0.24,UPI,Retail
1064,2023-04-18,Bob,North,4092.97,34,Food,4160.67,2411.37,Returning,0.16,UPI,Retail
1088,2023-04-19,Rami d,East,3541.88,93,Electronics,4164.86,3991.66,Returning,0.11,Cash,Online
1070,2023-04-20,Dani d,East,4516.56,48,Food,3576.01,2518.41,Returning,0.09,Bank Transfer,Retail
1008,2023-04-21,Dani d,West,8185.1,77,Furniture,616.47,4067.37,New,0.2,UPI,Online
1087,2023-04-22,Rami d,East,4347.39,48,Clothing,4210.38,1396.65,Returning,0.21,Bank Transfer,Retail
1000,2023-04-23,Dani d,East,5065.27,49,Clothing,3387.96,4500.31,Returning,0.26,Bank Transfer,Online
1007,2023-04-24,Dani d,South,4576.43,64,Food,3515.42,3298.11,New,0.11,Credit Card,Online
1087,2023-04-25,Charlie,East,1840.67,61,Furniture,1878.62,1277.58,New,0.23,Credit Card,Retail
1062,2023-04-26,Rami d,West,4969.65,29,Clothing,4408.47,1416.45,Returning,0.17,UPI,Online
1010,2023-04-27,Bob,South,2760.48,39,Food,3654.32,3509.96,Returning,0.27,Cash,Online
1080,2023-04-28,Dani d,West,2680.51,88,Food,651.69,4590.18,Returning,0.16,Cash,Retail
1007,2023-04-29,Rami d,East,1846.32,26,Furniture,2098.11,2373.61,Returning,0.16,UPI,Online
1034,2023-04-30,Charlie,West,4210.04,17,Electronics,4443.26,1531.91,New,0.18,UPI,Online
1034,2023-05-01,Bob,South,7817.34,71,Food,331.26,4788.51,Returning,0.23,Cash,Online
1032,2023-05-02,Rami d,North,3487.98,13,Electronics,4810.94,3730.59,Returning,0.29,Bank Transfer,Retail
1004,2023-05-03,Bob,West,3811.14,69,Electronics,3427.9,2547.26,New,0.03,UPI,Retail
1040,2023-05-04,Bob,West,6784.07,26,Clothing,3193.74,2760.27,Returning,0.03,Bank Transfer,Retail
1027,2023-05-05,Bob,South,2762.57,49,Electronics,1425.74,1242.77,Returning,0.28,UPI,Retail
1006,2023-05-06,Dani d,South,9072.62,67,Furniture,1319.08,3503.39,New,0.16,UPI,Retail
1072,2023-05-07,Dani d,West,5681.71,7,Clothing,4716.09,2069.27,New,0.19,Bank Transfer,Online
1071,2023-05-08,Charlie,East,5028.43,58,Clothing,1561.54,5476.7,Returning,0.15,Bank Transfer,Online
1011,2023-05-09,Charlie,West,6020.38,49,Clothing,3899.98,2718.98,New,0.04,Cash,Online
1033,2023-05-10,Rami d,South,2494.31,53,Food,2026.3,2749.49,New,0.23,UPI,Retail
1032,2023-05-11,Charlie,North,6521.26,65,Food,782.34,3177.31,Returning,0.23,Credit Card,Online
1047,2023-05-12,Bob,North,4267.91,62,Electronics,152.5,5054.64,New,0.1,Credit Card,Retail
1022,2023-05-13,Bob,East,9074.68,17,Clothing,2766.86,4434.38,Returning,0.1,UPI,Online
1061,2023-05-14,Dani d,West,2519.69,43,Clothing,4881.32,2563.55,Returning,0.25,UPI,Retail
1087,2023-05-15,Bob,North,5563.46,25,Furniture,1908.77,3995.04,Returning,0.03,UPI,Online
1036,2023-05-16,Rami d,West,6383.01,3,Electronics,1850.24,3286.36,Returning,0.27,Bank Transfer,Online
1098,2023-05-17,Bob,South,1300.45,79,Furniture,1786.05,2784.16,New,0.08,Credit Card,Retail
1043,2023-05-18,Bob,North,4273.24,29,Electronics,2650.66,1178.89,Returning,0.18,Credit Card,Online
1085,2023-05-19,Rami d,East,7593.72,32,Electronics,2259.26,2632.06,Returning,0.28,Credit Card,Online
1090,2023-05-20,Charlie,South,8383.4,26,Food,4411.58,1465.13,Returning,0.21,UPI,Retail
1034,2023-05-21,Charlie,East,3818.46,16,Food,2577.05,5044.41,Returning,0.13,Bank Transfer,Online
1064,2023-05-22,Rami d,South,8187.34,25,Furniture,2588.01,1944.43,New,0.21,UPI,Online
1098,2023-05-23,Dani d,North,9709.8,54,Electronics,778.02,5244.61,New,0.11,Cash,Retail
1046,2023-05-24,Bob,East,8711.87,28,Clothing,4915.42,3001.85,New,0.09,Cash,Retail
1077,2023-05-25,Rami d,East,2058.8,73,Food,1324.87,3528.76,Returning,0.3,Credit Card,Retail
1002,2023-05-26,Bob,South,7657.57,56,Clothing,459.48,3054.73,New,0.23,UPI,Retail
1000,2023-05-27,Dani d,East,3877.0,65,Furniture,3349.42,842.19,New,0.2,Cash,Retail
1004,2023-05-28,Bob,South,9895.74,93,Food,3017.3,2160.64,Returning,0.11,Cash,Online
1089,2023-05-29,Rami d,South,5368.23,86,Food,2134.21,680.43,New,0.02,UPI,Retail
1013,2023-05-30,Bob,South,2101.91,80,Electronics,2168.74,3482.8,Returning,0.02,Bank Transfer,Retail
1026,2023-05-31,Charlie,South,7526.67,41,Furniture,3946.81,2540.78,New,0.17,UPI,Online
1008,2023-06-01,Dani d,North,3907.1,51,Electronics,1058.99,4312.22,New,0.23,UPI,Online
1078,2023-06-02,Dani d,South,9973.7,71,Food,4119.24,1329.52,New,0.17,Bank Transfer,Online
1014,2023-06-03,Dani d,West,9818.04,78,Furniture,3278.86,1030.43,New,0.25,Credit Card,Online
1089,2023-06-04,Rami d,East,6905.21,29,Food,2152.95,2323.88,Returning,0.02,Credit Card,Online
1041,2023-06-05,Dani d,West,2168.44,83,Furniture,2344.34,5107.23,Returning,0.12,Credit Card,Retail
1076,2023-06-06,Charlie,North,7181.75,19,Food,1357.57,3950.76,New,0.08,Bank Transfer,Online
1050,2023-06-07,Rami d,West,1837.27,66,Clothing,3785.36,2391.24,Returning,0.14,Cash,Retail
1062,2023-06-08,Charlie,East,1264.28,41,Clothing,2613.09,2917.41,New,0.03,Bank Transfer,Online
1095,2023-06-09,Bob,West,8406.63,45,Electronics,1672.19,600.54,New,0.29,UPI,Retail
1051,2023-06-10,Bob,North,2887.78,15,Clothing,3020.65,5417.48,New,0.07,Bank Transfer,Online
1095,2023-06-11,Bob,South,4411.24,3,Food,4979.1,3715.28,New,0.28,Cash,Retail
1003,2023-06-12,Bob,West,9761.12,11,Food,2232.79,1676.91,New,0.13,Cash,Retail
1093,2023-06-13,Charlie,North,4031.56,53,Clothing,4611.39,3284.07,New,0.3,UPI,Retail
1022,2023-06-14,Rami d,North,3668.41,46,Electronics,1790.58,735.73,Returning,0.17,Credit Card,Retail
1014,2023-06-15,Rami d,East,9263.87,30,Clothing,368.19,5317.23,Returning,0.28,Cash,Retail
1042,2023-06-16,Dani d,East,1996.74,57,Furniture,1100.79,1085.1,New,0.01,Cash,Retail
1028,2023-06-17,Charlie,West,7836.24,18,Furniture,2151.61,3616.96,Returning,0.23,Cash,Retail
1035,2023-06-18,Bob,South,9892.59,51,Furniture,1176.21,1463.18,New,0.27,UPI,Retail
1012,2023-06-19,Charlie,North,9111.66,48,Clothing,101.11,3988.95,Returning,0.05,Cash,Retail
1031,2023-06-20,Dani d,West,6865.01,66,Clothing,4583.51,4305.99,Returning,0.04,Credit Card,Retail
1070,2023-06-21,Dani d,North,3826.55,96,Clothing,4235.01,3752.8,Returning,0.13,UPI,Online
1058,2023-06-22,Charlie,North,3288.9,8,Furniture,3737.23,3437.57,New,0.28,Credit Card,Retail
1085,2023-06-23,Charlie,South,8373.3,22,Electronics,922.29,4924.71,Returning,0.17,Cash,Retail
1027,2023-06-24,Charlie,South,8918.4,6,Food,689.78,570.65,New,0.16,Cash,Online
1065,2023-06-25,Rami d,West,5728.91,76,Clothing,431.26,1920.39,New,0.05,Credit Card,Retail
1041,2023-06-26,Bob,South,3199.06,57,Electronics,3647.74,1478.34,New,0.01,UPI,Retail
1044,2023-06-27,Charlie,South,2016.49,36,Food,4651.16,5435.87,Returning,0.24,UPI,Online
1061,2023-06-28,Charlie,West,1784.62,79,Food,2209.63,2233.24,Returning,0.04,Credit Card,Online
1056,2023-06-29,Charlie,South,7471.7,92,Food,683.79,4069.48,Returning,0.19,Cash,Retail
1005,2023-06-30,Dani d,East,4781.07,57,Electronics,2610.72,3813.28,New,0.28,Bank Transfer,Online
1027,2023-07-01,Dani d,North,9148.24,49,Electronics,1809.28,1284.63,New,0.07,Credit Card,Retail
1027,2023-07-02,Rami d,North,7657.04,45,Furniture,1936.64,1428.64,Returning,0.2,Credit Card,Retail
1043,2023-07-03,Bob,North,2721.34,82,Electronics,3144.52,1654.87,New,0.03,Credit Card,Retail
1083,2023-07-04,Rami d,North,6524.0,66,Electronics,3621.72,2349.53,Returning,0.19,Cash,Online
1029,2023-07-05,Bob,West,4919.55,77,Electronics,641.96,1403.64,Returning,0.06,UPI,Retail
1061,2023-07-06,Dani d,North,6195.25,45,Food,274.39,255.14,Returning,0.22,Cash,Retail
1074,2023-07-07,Dani d,North,7642.62,79,Clothing,4972.22,4854.75,Returning,0.1,Credit Card,Online
1091,2023-07-08,Dani d,North,8255.76,20,Furniture,1240.37,5316.01,New,0.14,Cash,Retail
1088,2023-07-09,Rami d,North,8593.64,64,Clothing,363.77,1977.4,Returning,0.18,Cash,Retail
1061,2023-07-10,Charlie,East,3285.77,93,Clothing,1030.39,1961.01,Returning,0.06,Credit Card,Retail
1096,2023-07-11,Charlie,North,1280.04,93,Electronics,290.89,187.94,Returning,0.23,Cash,Retail
1000,2023-07-12,Dani d,East,7653.65,67,Furniture,2019.87,3789.34,Returning,0.1,Bank Transfer,Retail
1026,2023-07-13,Charlie,West,1957.09,83,Clothing,4031.77,4566.1,Returning,0.2,Cash,Retail
1061,2023-07-14,Charlie,South,3834.28,3,Clothing,1772.1,934.35,Returning,0.06,Cash,Online
1076,2023-07-15,Rami d,North,1034.35,54,Furniture,2276.5,1004.21,Returning,0.21,UPI,Retail
1002,2023-07-16,Bob,South,7135.03,78,Electronics,3410.38,4376.95,New,0.05,UPI,Retail
1069,2023-07-17,Dani d,South,2504.19,64,Clothing,2593.58,3447.16,New,0.13,Credit Card,Online
1071,2023-07-18,Dani d,West,6897.54,40,Food,4321.08,390.0,New,0.08,Credit Card,Retail
1026,2023-07-19,Rami d,South,9925.68,59,Clothing,4343.57,3480.63,New,0.23,UPI,Retail
1008,2023-07-20,Rami d,East,1654.04,55,Food,148.56,1802.71,Returning,0.09,Bank Transfer,Online
1061,2023-07-21,Charlie,South,1693.7,62,Electronics,3912.43,2122.68,New,0.27,Cash,Online
1036,2023-07-22,Dani d,South,4063.42,4,Clothing,2357.59,4268.06,New,0.27,Bank Transfer,Online
1096,2023-07-23,Bob,South,8797.48,60,Furniture,4945.32,4488.5,New,0.07,Bank Transfer,Online
1050,2023-07-24,Rami d,North,2939.77,75,Furniture,2467.84,2291.91,Returning,0.19,UPI,Online
1043,2023-07-25,Bob,North,4243.4,95,Clothing,4935.79,5217.27,New,0.04,Credit Card,Online
1023,2023-07-26,Bob,East,1616.55,96,Electronics,3797.39,2324.58,New,0.12,Cash,Online
1078,2023-07-27,Dani d,East,7868.4,91,Electronics,1318.16,4279.32,Returning,0.22,Credit Card,Retail
1058,2023-07-28,Dani d,North,4674.76,30,Furniture,2738.14,2738.74,New,0.2,Bank Transfer,Retail
1031,2023-07-29,Rami d,East,7833.24,2,Clothing,4961.46,4951.8,Returning,0.19,Bank Transfer,Retail
1095,2023-07-30,Dani d,North,9132.47,62,Electronics,4301.9,5006.52,New,0.09,Credit Card,Online
1087,2023-07-31,Dani d,West,3094.87,49,Furniture,577.1,617.68,Returning,0.12,Credit Card,Retail
1051,2023-08-01,Dani d,South,8266.56,9,Food,3561.22,5160.24,New,0.04,UPI,Online
1061,2023-08-02,Bob,South,1531.85,92,Clothing,1793.34,4566.61,New,0.22,Credit Card,Retail
1057,2023-08-03,Rami d,East,9089.63,31,Food,134.21,4383.51,New,0.16,Credit Card,Retail
1051,2023-08-04,Charlie,North,6856.92,98,Food,2077.06,1224.88,Returning,0.22,UPI,Retail
1011,2023-08-05,Bob,North,8868.04,61,Electronics,1250.3,4457.39,New,0.08,Credit Card,Retail
1038,2023-08-06,Dani d,East,1001.7,79,Electronics,4112.46,4698.21,Returning,0.1,Bank Transfer,Online
1001,2023-08-07,Bob,North,2521.73,48,Electronics,1752.92,1696.95,Returning,0.11,Credit Card,Online
1002,2023-08-08,Dani d,West,4507.83,25,Clothing,4154.87,5244.59,Returning,0.02,Cash,Retail
1055,2023-08-09,Dani d,South,4415.53,36,Food,102.93,416.75,Returning,0.11,Bank Transfer,Online
1080,2023-08-10,Bob,East,3040.57,8,Clothing,1608.31,952.01,New,0.24,UPI,Online
1058,2023-08-11,Rami d,East,4434.51,73,Electronics,1281.71,3026.06,New,0.27,Bank Transfer,Retail
1001,2023-08-12,Dani d,North,2159.64,58,Food,1244.48,3230.49,New,0.16,UPI,Online
1001,2023-08-13,Rami d,East,4714.85,45,Clothing,434.11,3601.55,Returning,0.14,Cash,Online
1091,2023-08-14,Charlie,West,8221.19,62,Clothing,1016.91,240.78,New,0.02,Cash,Online
1053,2023-08-15,Dani d,North,5311.63,39,Furniture,2822.19,5287.96,Returning,0.26,Bank Transfer,Online
1086,2023-08-16,Rami d,North,1162.0,96,Clothing,1527.67,388.55,Returning,0.01,Credit Card,Retail
1095,2023-08-17,Rami d,North,4793.0,58,Electronics,2145.23,915.38,Returning,0.28,Bank Transfer,Retail
1096,2023-08-18,Charlie,North,1244.58,81,Clothing,1946.65,224.98,New,0.15,Bank Transfer,Online
1000,2023-08-19,Rami d,West,9696.19,99,Food,4391.93,3182.69,New,0.11,Cash,Retail
1018,2023-08-20,Rami d,North,2147.09,83,Clothing,4535.97,5137.63,Returning,0.28,UPI,Retail
1001,2023-08-21,Charlie,East,7369.19,64,Furniture,2515.49,3712.82,New,0.02,Bank Transfer,Retail
1052,2023-08-22,Dani d,West,9754.99,44,Food,1717.76,4551.22,New,0.18,Credit Card,Online
1043,2023-08-23,Rami d,South,8434.35,29,Food,623.32,221.05,Returning,0.17,Cash,Online
1089,2023-08-24,Rami d,South,7293.84,59,Furniture,4771.67,3049.78,Returning,0.07,Bank Transfer,Retail
1031,2023-08-25,Rami d,East,8555.15,71,Electronics,395.11,2608.66,New,0.13,Bank Transfer,Retail
1069,2023-08-26,Bob,East,9836.19,92,Food,1558.49,2819.48,Returning,0.2,Credit Card,Online
1031,2023-08-27,Charlie,West,6592.1,9,Electronics,1560.52,536.34,Returning,0.22,Bank Transfer,Retail
1067,2023-08-28,Bob,South,6032.66,92,Food,1669.97,3811.73,New,0.01,Bank Transfer,Online
1054,2023-08-29,Charlie,South,6654.14,6,Food,905.01,2842.23,New,0.28,Bank Transfer,Retail
1074,2023-08-30,Dani d,South,5794.08,29,Electronics,3937.49,4243.55,Returning,0.06,Bank Transfer,Online
1055,2023-08-31,Dani d,South,6715.8,58,Food,700.24,2746.3,New,0.08,Credit Card,Online
1016,2023-09-01,Rami d,South,5048.58,17,Electronics,3211.04,949.19,Returning,0.09,Bank Transfer,Online
1037,2023-09-02,Charlie,North,2965.99,16,Furniture,706.85,3618.17,Returning,0.02,Bank Transfer,Online
1023,2023-09-03,Dani d,East,2082.23,87,Electronics,445.62,1072.27,New,0.05,Bank Transfer,Retail
1068,2023-09-04,Charlie,North,1615.07,95,Furniture,4556.2,4817.31,Returning,0.3,Cash,Online
1097,2023-09-05,Dani d,South,3369.84,3,Food,1031.63,3430.17,Returning,0.1,Credit Card,Retail
1069,2023-09-06,Bob,West,1415.11,21,Electronics,4124.13,991.04,Returning,0.04,Cash,Online
1085,2023-09-07,Dani d,West,6104.54,64,Food,2768.69,5298.51,New,0.04,Cash,Online
1010,2023-09-08,Bob,South,3554.46,90,Electronics,481.5,2923.26,New,0.22,Credit Card,Retail
1015,2023-09-09,Dani d,South,8420.81,36,Furniture,4781.7,540.01,New,0.26,Cash,Retail
1096,2023-09-10,Rami d,West,1668.17,86,Furniture,1310.11,3503.56,Returning,0.08,Cash,Retail
1072,2023-09-11,Bob,North,3037.16,62,Electronics,4312.26,1504.61,Returning,0.02,Cash,Online
1058,2023-09-12,Dani d,North,7572.22,42,Furniture,927.17,4449.76,New,0.07,Credit Card,Online
1069,2023-09-13,Rami d,South,6389.27,76,Food,4284.32,4525.35,New,0.03,Bank Transfer,Retail
